"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACAP1",66.1570231172673,0.975005645213818,0.533172876816244,0.000423874899034854,0.0238092591432074
"CASP1",347.904195620495,0.96786445122028,0.205339776930969,8.79249531818197e-07,0.000197424426535193
"ASPHD2",81.3922930814461,0.964162482000883,0.486462596601495,0.0003304404316398,0.0200241987961352
"APOL3",351.91759040984,0.960525055169016,0.352499946155131,0.00010106892401345,0.00792079101126563
"ACP5",704.266546807914,0.956625347897909,0.701457178116454,0.000930995871675685,0.0434971227444499
"PTPRO",62.4021763164681,0.953298728416001,0.750131094802845,0.00108241388337539,0.0492861137231906
"LPXN",135.64194212307,0.952613909693855,0.491130940038518,0.000354560199139883,0.0210937438181724
"GPSM3",186.741146610298,0.950307566610443,0.293394283846572,4.25362214760382e-05,0.00422794479439573
"HIST1H3G",111.016104034013,0.949100132276836,0.634399672791543,0.000749705978306522,0.0376029450842296
"TCN1",2770.00192871817,0.947556800283702,0.284491854933575,3.59958331231018e-05,0.0037373762785967
"GBP2",1165.32741750113,0.93284427993718,0.460762572604569,0.000308691979306964,0.0192796473359495
"AP1S2",198.74769715957,0.926405618040823,0.28572195958542,4.17736127049963e-05,0.00417761755033218
"MYO1F",346.212023139617,0.923595669040156,0.713734897142834,0.00107570115285964,0.0491176596435994
"HCLS1",293.422258851178,0.92250081183693,0.200372243555986,1.29505719447803e-06,0.000270650350348543
"ITGAE",116.580520457667,0.916930741408711,0.623552165994715,0.000797397933806385,0.0393890415726603
"LEF1",99.4751991603233,0.911348745148287,0.552457027976696,0.000583085305564223,0.0306093047451982
"EPSTI1",437.048163997325,0.909257984358318,0.547342420306104,0.000571651874751756,0.0303534111085615
"HIST1H2AE",201.746356150697,0.902120107021438,0.395600645310996,0.000202797111077982,0.0143730248160095
"PIK3CG",200.704030555239,0.895313886695179,0.542419526846263,0.00058398219592397,0.0306093047451982
"CST7",42.4663867488833,0.883250109002219,0.658574480888164,0.00102313324235956,0.0471132626658283
"IRF8",297.466958513115,0.871646252177695,0.313242466113082,8.86774952469701e-05,0.00737516250010643
"NPC2",964.565043732263,0.868683219547228,0.172731333091566,2.01197434799734e-07,6.3330224427076e-05
"NEIL3",134.028364847261,0.827858235894213,0.392960389867857,0.000263427382988217,0.0173851407695989
"LOC100419583",398.647918743664,0.826976850930982,0.239546270396718,2.58644818967634e-05,0.00286981196227096
"STAT1",5366.16681850238,0.822830296106182,0.553528272791032,0.000797298853100199,0.0393890415726603
